Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13
264.75,2271,36.02,905.35,13.91,1042.71,0.6,0,0.1,81.95,28457.82,29633.21,29611.61,3873.95
264.75,2707.25,28.81,896.8,10.37,1002.52,0.6,0,0.11,82.85,21580.72,37391.54,30057.4,2971.11
264.75,2515.5,30.99,903.28,10.69,1019.97,0.63,0,0.23,22.25,8695.98,37623.5,3731.96,14370.37
264.75,1325,14.71,788.47,20.34,1332.74,0.44,1.95,54.29,1596.61,2215.29,3386.37,1650,25
189.77,2512.75,30.7,855.23,11.59,1023.16,0.55,0,0.15,5.36,4373.5,19073.74,3827.21,3913.11
264.75,1692.5,36.48,837.93,17.45,1179.96,0.63,0,0.68,106.19,12459.84,44558.14,39667.46,476.99
123.19,1423,16.57,827.88,19.01,1320.76,0.44,0,0.49,1209.05,3150.79,9892.8,1904.6,3070.42
264.75,2454.76,31.11,849.48,14.44,1019.38,0.62,0,0.05,735.1,8341.71,14942.07,6983.92,13080.13
167.47,1229.75,6.55,793.52,20.26,1362.7,0.51,0,1.17,113.64,1996.87,5750.43,2981.19,2065.79
264.75,3072.75,16.71,858.15,8.45,928.74,0.58,0,0.04,17.9,10104.83,34747.77,11709.29,6547.33
259.15,2279.28,28.01,820.46,12.59,1101.31,0.54,0,0.15,14.62,20859.69,22605.5,16452.39,3216.94
264.75,2882,34.63,937.32,9.69,930.71,0.6,0,0.07,20.21,11709.29,33697.59,10071.12,25730.67
264.75,3195,20.8,843.22,7.18,943.48,0.67,0,0.04,15.84,16298.08,31909.37,19683.69,9569.09
264.75,3331.25,24.86,856.83,7.75,893.92,0.56,0,0.11,19.67,10759.53,39209.79,27673.95,7487.82
220.15,2706.25,36.84,811.36,12.99,1101.73,0.66,0,0.07,4.28,4631.14,58452.78,55271.4,12954.83
220.15,3608.25,8.77,867.97,5.73,823.53,0.6,0,0.02,16.7,11576.16,25671.14,5636.27,6071.86
264.75,1539.5,15.79,781.01,18.11,1173.82,0.58,0,0.19,692.12,5985.61,18847.48,6166.64,6772.56
175.54,3861,6.55,872.89,4.68,816.06,0.62,0,0.02,16.03,9930.13,24718.57,9053.59,9175.38
164.78,2412.75,37.73,897.38,12.03,1012.89,0.57,0,0.05,112.85,5062.36,23661.52,19839.54,5454.13
264.75,2984.25,17.35,831.48,9.61,1012.96,0.63,0,0.19,15.21,5639.81,44459.05,32066.3,2758.17
264.75,1453.25,14.42,777.59,18.35,1230.01,0.59,0,0.28,731.25,6779.93,18450.68,2351.06,2804.91
264.75,2586.25,23.33,838.85,12.01,1077.35,0.55,0,0.48,18.17,21769.42,29225.46,1757.13,6473.6
175.54,2036.96,35.12,821.73,13.46,1116.87,0.62,0,0.12,4.78,6518.1,55353.69,52941.58,12969.18
264.75,1450.5,20.08,828.29,18.29,1187.44,0.59,0,0.78,96.51,14326.46,40127.64,35133,1351.85
264.75,2810.54,17.17,837.14,10.71,1016.97,0.6,0,0.04,18.29,38394.96,22160.62,13303.37,8659.56
195.15,1946.75,24.05,929.26,13.93,1059.15,0.59,0,0.24,26.95,5614.94,26167.3,14157.24,20053.62
0.19,1189,1.4,845.58,18.32,1154.44,0.56,0,0,96.05,85.36,35183.34,18953.3,4839.68
175.54,1801.75,24.21,889.56,14.72,1119.5,0.67,0,0.14,93.6,10350.24,43186.43,28014.77,295.81
220.15,3014.75,6.36,866.17,10.18,947.56,0.64,0,0.07,18.12,11247.56,33438.41,13141.82,10433.96
164.78,2455.5,19.89,863.09,10.58,1053.3,0.48,0,0.46,5.25,1544.33,14879.77,8191.92,11023.95
164.78,2377.25,5.75,852.89,12.64,1159.73,0.39,0,0.89,24.69,10403.25,13861.01,3691.54,12356.68
0.19,2690,0,811.46,11.15,963.22,0.39,0,0,13.29,0,45489.49,40382,3261.66
264.75,1611.5,24.22,792.74,18.43,1291.28,0.58,0,0.3,758.66,4701.86,11244,1557.24,2616.77
220.15,2698.25,35.2,916.89,10.8,905.05,0.63,0,0.1,83.48,22665.56,30135.15,21181.3,8419.47
167.47,1561.25,15.49,868.43,15.65,1153.32,0.65,0,0.18,92.17,24329.56,37257.58,32382.83,668.96
220.15,1788.25,23.02,895.76,15.83,1082.18,0.69,0,0.19,86.49,2011.84,35057.77,6778.46,1551.61
172.85,1549.25,24.19,926.73,17.71,1130.33,0.55,0,0.35,30.43,779.42,29338.16,11452.84,12683.36
264.75,2789.75,25.27,842.46,9.99,1015.46,0.59,0,0.1,19.96,8661.84,41359.49,19164.75,3950.63
164.78,1801.75,5.89,834.55,16.31,1177.13,0.49,0,0.74,126.94,3653.42,33657.5,2593.74,3070.42
264.75,2984.25,6.5,891.9,10.32,946.95,0.57,0,0.19,77.32,28439.19,33706.49,23653.91,5838.45
264.75,2284.35,21.67,854.99,14.95,1112.95,0.62,0,0.65,95.08,7089.73,21251.55,15593.91,96.23
264.75,2434.25,5.35,856.64,12.4,1146.12,0.49,0,0.73,21.04,11516.4,16677.15,606.22,14922.72
175.54,2576.5,10.03,854.69,11.4,1082.61,0.49,0,0.43,18.5,13798.82,19342.38,11292.81,18554.99
264.75,1848.75,17.07,807.13,17.33,1153.64,0.65,0,0.07,756.71,8900.98,11136.76,4306.68,6150.41
197.84,1459.25,24.82,923.85,16.17,1141.26,0.65,0,0.19,26.54,11191.4,30300.62,85.36,21670.89
189.77,1986,13.4,868.32,14.8,1150.56,0.6,0,0.27,90.98,17503.93,46174.97,32150,3556.33
164.78,2627.46,2.27,804.11,11.05,1104.89,0,0,1.84,0,7493.07,56099.41,38753.08,1600.21
264.75,3073,36.8,853.74,8.67,881.79,0.62,0,0.07,4.98,7091.37,21895.38,7736.12,6114.53
264.01,2165.16,28.31,819.51,14.06,1187.86,0.56,0,0.13,4.13,1971.5,62260.91,58493.7,13745.06
167.47,1209.25,10.47,781.7,20.2,1357.1,0.41,0.45,51.44,1340.61,2316.89,1558.04,2351.78,100
214.76,2079,9.13,833,13.44,1124.75,0.55,0,0.22,27.65,10928.29,32431.58,21537.58,3323.78
264.75,3218.75,8.27,875.77,7.13,927.12,0.54,0,0.18,20.67,8065.2,9280.49,9619.12,9053.59
239.76,2152.25,9.68,814.35,15.12,1147.05,0.53,0,1.1,119.62,3933.71,35133,6867.86,4315.96
264.75,3218.75,21.89,838.99,7.68,913.52,0.61,0,0.09,15.13,12967.94,37918.43,26738.13,10353.14
264.75,2112.5,18.15,921.41,13.44,1060.61,0.7,0,0.53,91.48,13854.51,18402.38,2658.48,12732.93
264.75,3141.5,21.85,817.9,8.03,986.41,0.52,0,0.04,16.67,14853.54,25857.45,13752.36,4138.54
264.75,1833.5,28.15,918.25,15.78,1109.04,0.64,0,0.21,30.89,4119.16,26614.42,12067.62,20998.75
