Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13
264.75,2271,36.02,834.72,14.69,1086.16,0.55,0,0.1,178.8,28457.82,29633.21,29611.61,3873.95
264.75,2707.25,28.81,824.68,10.83,1044.08,0.61,0,0.13,180.78,21580.72,37391.54,30057.4,2971.11
264.75,2515.5,30.99,861.23,11.28,1062.9,0.65,0,0.27,52.64,8695.98,37623.5,3731.96,14370.37
264.75,1325,14.71,738.03,21.08,1378.67,0.38,4.63,49.33,3384.2,2215.29,3386.37,1650,25
189.77,2512.75,30.7,799.49,12.13,1061.49,0.56,0,0.18,12.3,4373.5,19073.74,3827.21,3913.11
264.75,1692.5,36.48,770.16,18.28,1225.34,0.64,0,0.27,237.87,12459.84,44558.14,39667.46,476.99
18.48,1423,16.57,774.74,19.58,1365.57,0.42,0,0.43,2528.79,3150.79,9892.8,1904.6,3070.42
264.75,2454.76,31.11,778.32,15,1059.6,0.64,0,0.06,1481.98,8341.71,14942.07,6983.92,13080.13
167.47,1229.75,6.55,750.04,20.85,1409.96,0.51,0,0.73,254.64,1996.87,5750.43,2981.19,2065.79
264.75,3072.75,16.71,790.25,8.99,966.41,0.63,0,0.04,42.21,10104.83,34747.77,11709.29,6547.33
259.15,2279.28,28.01,751.46,13.19,1139.08,0.55,0,0.16,33.47,20859.69,22605.5,16452.39,3216.94
264.75,2882,34.63,887.38,10.39,970.49,0.56,0,0.09,47.66,11709.29,33697.59,10071.12,25730.67
264.75,3195,20.8,779.08,7.46,979.58,0.73,0,0.05,37.35,16298.08,31909.37,19683.69,9569.09
264.75,3331.25,24.86,791.95,8.39,929.18,0.56,0,0.07,46.4,10759.53,39209.79,27673.95,7487.82
220.15,2706.25,36.84,744.92,13.54,1134.69,0.68,0,0.07,9.82,4631.14,58452.78,55271.4,12954.83
220.15,3608.25,8.77,806.34,6.46,860.27,0.66,0,0.02,39.39,11576.16,25671.14,5636.27,6071.86
264.75,1539.5,15.79,726.12,18.72,1214.08,0.58,0,0.15,1346.98,5985.61,18847.48,6166.64,6772.56
175.54,3861,6.55,811.48,5.2,851.8,0.6,0,0.02,37.8,9930.13,24718.57,9053.59,9175.38
164.78,2412.75,37.73,833.01,12.62,1055.89,0.6,0,0.07,246.29,5062.36,23661.52,19839.54,5454.13
264.75,2984.25,17.35,767.09,10.16,1049.37,0.67,0,0.16,35.86,5639.81,44459.05,32066.3,2758.17
